product_option,image_url,quantity,default
Standard 13 oz,/assets/images/products/banners/standard_13_oz.jpg,1,false
Stretch,https://img.b2bpic.net/premium-photo/gradient-green-design-panorama-background_7954-23415.jpg,1,false
Blackout,https://img.b2bpic.net/premium-photo/close-up-toy-blocks-black-background_1048944-25209228.jpg,1,false
Mesh,https://img.b2bpic.net/premium-photo/yellow-abstract-panorama-background_7954-23411.jpg,1,false
Backlit,https://img.b2bpic.net/premium-photo/purple-sign-with-arrow-pointing-right_713562-19123.jpg,1,false
