product_option,image_url,quantity,default,freepik_prompt
Single Sided,https://img.b2bpic.net/premium-photo/flyer-design-company-specializing-international-purchasing_1112329-141642.jpg,1,false,"A photorealistic image of high-quality Business Flyers, showcasing the Single Sided style. --data business-flyers-single-sided"
Double Sided,https://img.b2bpic.net/premium-photo/premium-menu-poster-pamphlet-invoice-letterhead-fax-cover-flyer-letter-free-blank-jpeg-file_659193-284.jpg,1,false,"A photorealistic image of high-quality Business Flyers, showcasing the Double Sided style. --data business-flyers-double-sided"
