product_option,image_url,quantity,default,freepik_prompt
H Steak,/assets/images/products/yard-signs/h_steak.jpg,1,false,"A photorealistic image of high-quality Yard Signs, showcasing the H Steak style."
Single Steak,/assets/images/products/yard-signs/single_steak.jpg,1,false,"A photorealistic image of high-quality Yard Signs, showcasing the Single Steak style."
Framed,/assets/images/products/yard-signs/framed.jpg,1,false,"A photorealistic image of high-quality Yard Signs, showcasing the Framed style."
