product_option,image_url,quantity,default,freepik_prompt
Shirts,/assets/images/products/branded-apparel/shirts.jpg,1,false,"A photorealistic image of high-quality Branded Apparel, showcasing the Shirts style."
Sweaters,/assets/images/products/branded-apparel/sweaters.jpg,1,false,"A photorealistic image of high-quality Branded Apparel, showcasing the Sweaters style."
Hats,/assets/images/products/branded-apparel/hats.jpg,1,false,"A photorealistic image of high-quality Branded Apparel, showcasing the Hats style."
