product_option,image_url,quantity,default,freepik_prompt
4' Table Cloth,/assets/images/products/table-cloths/4__table_cloth.jpg,1,false,"A photorealistic image of high-quality Table Cloths, showcasing the 4' Table Cloth style."
6' Table Cloth,/assets/images/products/table-cloths/6__table_cloth.jpg,1,false,"A photorealistic image of high-quality Table Cloths, showcasing the 6' Table Cloth style."
8' Table Cloth,/assets/images/products/table-cloths/8__table_cloth.jpg,1,false,"A photorealistic image of high-quality Table Cloths, showcasing the 8' Table Cloth style."
Stretch Table Cloth,/assets/images/products/table-cloths/stretch_table_cloth.jpg,1,false,"A photorealistic image of high-quality Table Cloths, showcasing the Stretch Table Cloth style."
