product_option,image_url,quantity,default,freepik_prompt
Event Tent 10'x10',/assets/images/products/tents/event_tent_10_x10_.jpg,1,false,"A photorealistic image of high-quality Event Tents, showcasing the Event Tent 10'x10' style."
Tent Full Wall,/assets/images/products/tents/tent_full_wall.jpg,1,false,"A photorealistic image of high-quality Event Tents, showcasing the Tent Full Wall style."
Tent Half Wall,/assets/images/products/tents/tent_half_wall.jpg,1,false,"A photorealistic image of high-quality Event Tents, showcasing the Tent Half Wall style."
Tent Hardware,/assets/images/products/tents/tent_hardware.jpg,1,false,"A photorealistic image of high-quality Event Tents, showcasing the Tent Hardware style."
Tent Accesories,/assets/images/products/tents/tent_accesories.jpg,1,false,"A photorealistic image of high-quality Event Tents, showcasing the Tent Accesories style."
