product_option,image_url,quantity,default,freepik_prompt
Eco Tote,/assets/images/products/bags/eco_tote.jpg,1,false,"A photorealistic image of high-quality Promotional Bags, showcasing the Eco Tote style."
Woven Tote,/assets/images/products/bags/woven_tote.jpg,1,false,"A photorealistic image of high-quality Promotional Bags, showcasing the Woven Tote style."
Backpack,/assets/images/products/bags/backpack.jpg,1,false,"A photorealistic image of high-quality Promotional Bags, showcasing the Backpack style."
