product_option,image_url,quantity,default,freepik_prompt
Standard,https://img.b2bpic.net/premium-photo/blank-white-business-cards-mockup_93675-34431.jpg,1,false,"A photorealistic image of high-quality Premium Real Estate Business Cards, showcasing the Standard style. --data premium-real-estate-business-cards-standard"
Premium,https://img.b2bpic.net/premium-photo/black-white-sign-that-says-design-it_1313248-18115.jpg,1,false,"A photorealistic image of high-quality Premium Real Estate Business Cards, showcasing the Premium style. --data premium-real-estate-business-cards-premium"
Spot UV,https://img.b2bpic.net/premium-photo/black-laptop-with-silver-logo-it_1301214-10427.jpg,1,false,"A photorealistic image of high-quality Premium Real Estate Business Cards, showcasing the Spot UV style. --data premium-real-estate-business-cards-spot-uv"
Gold Foil,https://img.b2bpic.net/premium-photo/stack-blank-golden-business-card-grey-background-blank-name-card_143092-3918.jpg,1,false,"A photorealistic image of high-quality Premium Real Estate Business Cards, showcasing the Gold Foil style. --data premium-real-estate-business-cards-gold-foil"
Embossed,https://img.b2bpic.net/premium-photo/white-square-with-word-h-it_1308175-18169.jpg,1,false,"A photorealistic image of high-quality Premium Real Estate Business Cards, showcasing the Embossed style. --data premium-real-estate-business-cards-embossed"" "
