product_option,image_url,quantity,default,freepik_prompt
Standard,/assets/images/products/retractable-banners/standard.jpg,1,false,"A photorealistic image of high-quality Retractable Banners, showcasing the Standard style."
Deluxe,/assets/images/products/retractable-banners/deluxe.jpg,1,false,"A photorealistic image of high-quality Retractable Banners, showcasing the Deluxe style."
X - Stand,/assets/images/products/retractable-banners/x___stand.jpg,1,false,"A photorealistic image of high-quality Retractable Banners, showcasing the X - Stand style."
"Stretch ",/assets/images/products/retractable-banners/stretch_.jpg,1,false,"A photorealistic image of high-quality Retractable Banners, showcasing the Stretch  style."
