product_option,image_url,quantity,default,freepik_prompt
Photo Paper,https://img.b2bpic.net/premium-photo/blank-card_66155-58.jpg,1,false,"A photorealistic image of high-quality Photo Prints, showcasing the Photo Paper style."
Canvas,https://img.b2bpic.net/premium-photo/three-cards-with-picture-sunset-lake-generative-ai_958138-6634.jpg,1,false,"A photorealistic image of high-quality Photo Prints, showcasing the Canvas style."
Custom,https://img.b2bpic.net/premium-photo/collage-young-driver-her-car_13339-181572.jpg,1,false,"A photorealistic image of high-quality Photo Prints, showcasing the Custom style."
