product_option,image_url,quantity,default,freepik_prompt
"Standard Channel Letters ",/assets/images/products/channel-lettering/standard_channel_letters_.jpg,1,false,"A photorealistic image of high-quality Channel Lettering, showcasing the Standard Channel Letters  style."
"Halo/Reverse Lit Channel Letters ",/assets/images/products/channel-lettering/halo_reverse_lit_channel_letters_.jpg,1,false,"A photorealistic image of high-quality Channel Lettering, showcasing the Halo/Reverse Lit Channel Letters  style."
"Premium Channel Letters ",/assets/images/products/channel-lettering/premium_channel_letters_.jpg,1,false,"A photorealistic image of high-quality Channel Lettering, showcasing the Premium Channel Letters  style."
