product_option,image_url,quantity,default,freepik_prompt
Standard,https://img.b2bpic.net/premium-photo/made-usa-star-label_698953-2066.jpg,1,false,"A photorealistic image of high-quality Custom Stickers, showcasing the Standard style."
Premium,/assets/images/products/stickers/premium.jpg,1,false,"A photorealistic image of high-quality Custom Stickers, showcasing the Premium style."
Embossed,https://img.b2bpic.net/premium-photo/authentic-made-usa-vintage-stamp-design-timeless-choice-classic-product-labeling-brand_1174662-11921.jpg,1,false,"A photorealistic image of high-quality Custom Stickers, showcasing the Embossed style."
Custom Lamination,https://img.b2bpic.net/premium-photo/making-favors-bags-out-brown-bags-with-stamps-ribbons-kids-birthday-party_198639-67430.jpg,1,false,"A photorealistic image of high-quality Custom Stickers, showcasing the Custom Lamination style."
