product_option,image_url,quantity,default,freepik_prompt
Framed,https://img.b2bpic.net/premium-photo/paintings-wall_1048944-17771150.jpg,1,false,"A photorealistic image of high-quality Canvas Prints, showcasing the Framed style. --data canvas-prints-framed"
Un-Framed,https://img.b2bpic.net/premium-photo/canvas-prints-with-gallery-wrapping-onto-stretcher-bar-edge-corner-photo-printed-canvas_161301-8162.jpg,1,false,"A photorealistic image of high-quality Canvas Prints, showcasing the Un-Framed style. --data canvas-prints-un-framed"
Roll,https://img.b2bpic.net/premium-photo/print-photos-canvas-synthetic-canvas-stretched-stretcher-top-view_182793-2782.jpg,1,false,"A photorealistic image of high-quality Canvas Prints, showcasing the Roll style. --data canvas-prints-roll"
