product_option,image_url,quantity,default,freepik_prompt
Paper,https://img.b2bpic.net/premium-photo/wet-white-paper-glued-wall-wet-paper-texture-image_132310-11382.jpg,1,false,"A photorealistic image of high-quality Custom Posters, showcasing the Paper style. --data custom-posters-paper"
Mounted,https://img.b2bpic.net/premium-photo/close-up-blank-frames-against-brick-wall_1048944-7943838.jpg,1,false,"A photorealistic image of high-quality Custom Posters, showcasing the Mounted style. --data custom-posters-mounted"
Premium,https://img.b2bpic.net/premium-photo/two-posters-black-gold-are-gray-background_981650-80378.jpg,1,false,"A photorealistic image of high-quality Custom Posters, showcasing the Premium style. --data custom-posters-premium"
