product_option,image_url,quantity,default,freepik_prompt
Window Cling,/assets/images/products/window-graphics/window_cling.jpg,1,false,"A photorealistic image of high-quality Window Graphics, showcasing the Window Cling style."
Clear Window Cling,/assets/images/products/window-graphics/clear_window_cling.jpg,1,false,"A photorealistic image of high-quality Window Graphics, showcasing the Clear Window Cling style."
Perforated Window Vinyl,/assets/images/products/window-graphics/perforated_window_vinyl.jpg,1,false,"A photorealistic image of high-quality Window Graphics, showcasing the Perforated Window Vinyl style."
Vinyl Decal,/assets/images/products/window-graphics/vinyl_decal.jpg,1,false,"A photorealistic image of high-quality Window Graphics, showcasing the Vinyl Decal style."
Window Light Box,/assets/images/products/window-graphics/window_light_box.jpg,1,false,"A photorealistic image of high-quality Window Graphics, showcasing the Window Light Box style."
Window LED Panel,/assets/images/products/window-graphics/window_led_panel.jpg,1,false,"A photorealistic image of high-quality Window Graphics, showcasing the Window LED Panel style."
