product_option,image_url,quantity,default,freepik_prompt
"Acrylic ",/assets/images/products/3d-lettering/acrylic_.jpg,1,false,"A photorealistic image of high-quality 3D Lettering, showcasing the Acrylic  style."
Foam,/assets/images/products/3d-lettering/foam.jpg,1,false,"A photorealistic image of high-quality 3D Lettering, showcasing the Foam style."
Wood,/assets/images/products/3d-lettering/wood.jpg,1,false,"A photorealistic image of high-quality 3D Lettering, showcasing the Wood style."
Lit,/assets/images/products/3d-lettering/lit.jpg,1,false,"A photorealistic image of high-quality 3D Lettering, showcasing the Lit style."
