product_option,image_url,quantity,default,freepik_prompt
Non-Lit SEG,/assets/images/products/booths/non_lit_seg.jpg,1,false,"A photorealistic image of high-quality Trade Show Booths, showcasing the Non-Lit SEG style."
Back-Lit SEG,/assets/images/products/booths/back_lit_seg.jpg,1,false,"A photorealistic image of high-quality Trade Show Booths, showcasing the Back-Lit SEG style."
Tension Fabric Displays,/assets/images/products/booths/tension_fabric_displays.jpg,1,false,"A photorealistic image of high-quality Trade Show Booths, showcasing the Tension Fabric Displays style."
Trade Show Booth Kits,/assets/images/products/booths/trade_show_booth_kits.jpg,1,false,"A photorealistic image of high-quality Trade Show Booths, showcasing the Trade Show Booth Kits style."
